chr,label,start,end,value
UNIGRAMS,ailes,0,1,29.0
UNIGRAMS,fox,1,2,26.0
UNIGRAMS,roger,2,3,25.0
UNIGRAMS,harassment,3,4,16.0
UNIGRAMS,carlson,4,5,10.0
BIGRAMS,roger ailes,0,1,24.0
BIGRAMS,fox roger,1,2,9.0
BIGRAMS,gretchen carlson,2,3,7.0
BIGRAMS,ailes fox,3,4,6.0
BIGRAMS,ailes o'reilly,4,5,5.0
TRIGRAMS,fox roger ailes,0,1,8.0
TRIGRAMS,roger ailes fox,1,2,4.0
TRIGRAMS,roger ailes o'reilly,2,3,3.0
TRIGRAMS,ceo roger ailes,3,4,2.0
TRIGRAMS,roger ailes harassment,4,5,1.0
PEOPLE,Roger Ailes,0,1,28.0
PEOPLE,Fox,1,2,19.0
PEOPLE,Donald Trump,2,3,18.0
PEOPLE,Harvey Weinstein,3,4,15.0
PEOPLE,Gretchen Carlson,4,5,14.0
ORGANIZATION,Fox News,0,1,27.0
ORGANIZATION,New York Times,1,2,18.0
ORGANIZATION,White House,2,3,13.0
ORGANIZATION,CNN,3,4,12.0
ORGANIZATION,NBC,4,5,11.0
THEME,crime and criminals,0,1,23.0
THEME,sex crimes,1,2,22.0
THEME,politics and government,2,3,21.0
THEME,news and news media,3,4,20.0
THEME,television,4,5,17.0
