chr,label,start,end,value
UNIGRAMS,spacey,0,1,26.0
UNIGRAMS,kevin,1,2,24.0
UNIGRAMS,weinstein,2,3,15.0
UNIGRAMS,allegations,3,4,14.0
UNIGRAMS,harassment,4,5,12.0
BIGRAMS,kevin spacey,0,1,21.0
BIGRAMS,harvey weinstein,1,2,9.0
BIGRAMS,los angeles,2,3,6.0
BIGRAMS,weinstein kevin,3,4,5.0
BIGRAMS,matt lauer,4,5,4.0
TRIGRAMS,weinstein kevin spacey,0,1,8.0
TRIGRAMS,harvey weinstein kevin,1,2,7.0
TRIGRAMS,producer harvey weinstein,2,3,3.0
TRIGRAMS,kevin spacey louis,3,4,2.0
TRIGRAMS,cards kevin spacey,4,5,1.0
PEOPLE,Kevin Spacey,0,1,30.0
PEOPLE,Harvey Weinstein,1,2,29.0
PEOPLE,Matt Lauer,2,3,22.0
PEOPLE,Louis C.K.,3,4,19.0
PEOPLE,Donald Trump,4,5,18.0
ORGANIZATION,New York Times,0,1,20.0
ORGANIZATION,Netflix,1,2,16.0
ORGANIZATION,NBC,2,3,13.0
ORGANIZATION,Washington Post,3,4,11.0
ORGANIZATION,Senate,4,5,10.0
THEME,crime and criminals,0,1,28.0
THEME,sex crimes,1,2,27.0
THEME,motion pictures,2,3,25.0
THEME,women,3,4,23.0
THEME,television,4,5,17.0
