chr,label,start,end,value
UNIGRAMS,ford,0,1,25.0
UNIGRAMS,kavanaugh,1,2,17.0
UNIGRAMS,blasey,2,3,12.0
UNIGRAMS,christine,3,4,9.0
UNIGRAMS,assault,4,5,8.0
BIGRAMS,christine blasey,0,1,11.0
BIGRAMS,blasey ford,1,2,10.0
BIGRAMS,brett kavanaugh,2,3,6.0
BIGRAMS,senate judiciary,3,4,5.0
BIGRAMS,ford kavanaugh,4,5,4.0
TRIGRAMS,christine blasey ford,0,1,7.0
TRIGRAMS,supreme nominee brett,1,2,3.0
TRIGRAMS,nominee brett kavanaugh,2,3,3.0
TRIGRAMS,christine blasey ford's,3,4,2.0
TRIGRAMS,accuser christine blasey,4,5,1.0
PEOPLE,Christine Blasey Ford,0,1,28.0
PEOPLE,Brett Kavanaugh,1,2,26.0
PEOPLE,Donald Trump,2,3,18.0
PEOPLE,Anita Hill,3,4,14.0
PEOPLE,Clarence Thomas,4,5,13.0
ORGANIZATION,Supreme Court,0,1,27.0
ORGANIZATION,Ford,1,2,23.0
ORGANIZATION,Senate,2,3,21.0
ORGANIZATION,Senate Judiciary Committee,3,4,20.0
ORGANIZATION,FBI,4,5,16.0
THEME,crime and criminals,0,1,24.0
THEME,politics and government,1,2,23.0
THEME,sex crimes,2,3,22.0
THEME,united states politics and government,3,4,19.0
THEME,women,4,5,15.0
